,score,sentiment
2017-09-13 19:44:45,1,0.0
2017-09-13 20:28:49,126,-0.296
2017-09-13 20:37:00,85,-0.4019
2017-09-13 20:30:33,54,0.0
2017-09-13 19:44:13,42,-0.5423
2017-09-13 20:42:21,40,-0.6696
2017-09-13 19:50:35,66,-0.5586
2017-09-13 19:49:07,32,-0.0516
2017-09-13 20:17:39,30,0.2714
2017-09-13 20:03:49,25,0.6124
2017-09-13 20:04:41,26,0.6369
2017-09-13 20:07:14,28,-0.7856
2017-09-13 20:11:24,29,-0.5423
2017-09-13 20:28:51,26,0.4847
2017-09-13 20:29:42,26,0.5984
2017-09-13 20:29:18,23,0.0
2017-09-13 20:49:35,22,0.5267
2017-09-13 20:35:29,20,0.0
2017-09-13 20:38:29,20,-0.8402
2017-09-13 20:42:45,20,0.0
2017-09-13 20:09:12,19,0.0
2017-09-13 20:23:15,20,0.5106
2017-09-13 20:44:02,19,0.0
2017-09-13 20:44:45,19,-0.3167
2017-09-13 20:48:51,20,0.25
2017-09-13 19:50:49,41,-0.5095
2017-09-13 20:36:10,18,0.8122
2017-09-13 19:53:02,55,-0.2433
2017-09-13 20:35:06,17,0.0
2017-09-13 20:35:58,17,0.2263
2017-09-13 20:56:47,17,0.0
2017-09-13 21:21:30,18,0.0
2017-09-13 20:02:56,17,-0.886
2017-09-13 20:09:23,17,0.7351
2017-09-13 20:42:45,16,-0.7184
2017-09-13 19:57:49,15,-0.8122
2017-09-13 20:16:56,16,-0.296
2017-09-13 20:23:14,14,0.0
2017-09-13 20:28:26,14,0.6369
2017-09-13 20:28:41,14,0.9217
2017-09-13 21:05:58,15,0.0
2017-09-13 21:19:17,16,-0.836
2017-09-13 20:35:49,14,-0.1027
2017-09-13 20:55:18,14,0.4576
2017-09-13 21:06:03,14,0.4404
2017-09-13 21:08:10,14,-0.5346
2017-09-13 21:20:31,14,-0.7655
2017-09-13 21:21:16,15,-0.8553
2017-09-13 20:15:40,32,0.2656
2017-09-13 20:03:47,13,0.802
2017-09-13 20:29:48,12,0.0
2017-09-13 20:36:41,13,0.0
2017-09-13 20:52:27,13,0.0
2017-09-13 20:58:25,13,-0.0772
2017-09-13 21:08:07,13,0.0
2017-09-13 21:38:23,14,0.0
2017-09-13 20:22:13,12,-0.3818
2017-09-13 20:30:12,13,0.0
2017-09-13 20:39:46,12,0.5875
2017-09-13 20:40:24,12,0.3182
2017-09-13 20:45:19,12,0.1477
2017-09-13 20:59:01,12,0.3612
2017-09-13 21:25:05,12,-0.1531
2017-09-13 21:29:15,12,0.0
2017-09-13 21:31:09,12,0.0
2017-09-13 21:32:26,12,0.0
2017-09-13 21:34:49,12,0.0
2017-09-13 21:38:54,11,0.0
2017-09-13 19:45:28,22,-0.7311
2017-09-13 19:53:52,11,-0.2263
2017-09-13 19:54:24,11,-0.1027
2017-09-13 19:56:59,11,0.6908
2017-09-13 20:00:05,11,-0.5267
2017-09-13 20:06:38,10,0.0
2017-09-13 20:23:17,12,-0.5644
2017-09-13 20:23:18,11,-0.0772
2017-09-13 20:29:37,12,0.6369
2017-09-13 20:31:58,10,0.3164
2017-09-13 20:33:25,11,0.0
2017-09-13 20:35:34,11,-0.5423
2017-09-13 20:35:37,11,0.8126
2017-09-13 20:35:51,11,-0.5233
2017-09-13 20:36:38,11,-0.1531
2017-09-13 21:10:01,11,-0.4019
2017-09-13 21:10:50,11,-0.5423
2017-09-13 21:19:33,12,0.3612
2017-09-13 21:23:20,12,0.0
2017-09-13 21:23:34,12,-0.0762
2017-09-13 21:29:17,11,0.0
2017-09-13 21:30:32,12,-0.4939
2017-09-13 21:36:59,11,-0.6115
2017-09-13 19:53:29,20,-0.3382
2017-09-13 19:44:47,11,0.0
2017-09-13 19:52:23,10,0.573
2017-09-13 19:53:00,10,0.0
2017-09-13 20:01:46,9,-0.3802
2017-09-13 20:07:59,9,0.5927
2017-09-13 20:11:52,10,0.8658
2017-09-13 20:20:51,10,0.0
2017-09-13 20:29:27,10,0.5719
2017-09-13 20:29:37,9,-0.5984
2017-09-13 20:29:59,9,0.7351
2017-09-13 20:30:10,11,-0.4003
2017-09-13 20:33:10,9,0.34
2017-09-13 20:33:55,10,0.0
2017-09-13 20:38:23,10,0.6597
2017-09-13 20:39:22,10,-0.5423
2017-09-13 20:42:53,10,-0.729
2017-09-13 20:46:30,10,0.8482
2017-09-13 20:57:05,10,0.0
2017-09-13 21:03:38,10,-0.6597
2017-09-13 21:08:04,10,-0.0516
2017-09-13 21:17:42,10,-0.8126
2017-09-13 21:23:17,11,-0.5574
2017-09-13 21:28:11,11,0.0
2017-09-13 21:33:14,11,0.2263
2017-09-13 21:34:07,11,0.5423
2017-09-13 21:38:29,11,-0.3453
2017-09-13 19:44:15,8,0.0
2017-09-13 19:52:06,9,-0.7961
2017-09-13 19:53:51,9,0.0
2017-09-13 19:53:52,9,0.0
2017-09-13 19:54:18,9,0.2111
2017-09-13 19:54:59,8,0.2023
2017-09-13 19:56:20,9,0.0
2017-09-13 19:57:02,9,0.2023
2017-09-13 19:58:39,8,-0.3612
2017-09-13 20:00:23,8,-0.0898
2017-09-13 20:00:56,9,-0.7003
2017-09-13 20:06:59,9,0.0
2017-09-13 20:13:17,10,0.7783
2017-09-13 20:13:57,9,0.8834
2017-09-13 20:15:30,9,0.4215
2017-09-13 20:22:56,9,0.0
2017-09-13 20:24:38,10,0.6633
2017-09-13 20:29:35,8,-0.1531
2017-09-13 20:29:38,10,0.6369
2017-09-13 20:31:00,9,0.0
2017-09-13 20:31:01,8,0.2846
2017-09-13 20:32:23,9,-0.3182
2017-09-13 20:33:58,9,0.0
2017-09-13 20:34:22,8,0.0
2017-09-13 20:34:52,9,0.743
2017-09-13 20:35:08,9,0.1027
2017-09-13 20:45:10,9,0.802
2017-09-13 20:51:27,9,0.0
2017-09-13 20:57:12,9,-0.296
2017-09-13 21:01:10,9,-0.6908
2017-09-13 21:04:10,9,0.5574
2017-09-13 21:06:01,9,0.659
2017-09-13 21:06:48,9,0.7783
2017-09-13 21:07:41,9,0.7184
2017-09-13 21:17:25,9,0.25
2017-09-13 21:24:48,10,-0.5423
2017-09-13 21:25:37,10,-0.296
2017-09-13 21:29:17,9,0.0
2017-09-13 21:29:22,9,-0.9087
2017-09-13 21:29:31,10,0.0
2017-09-13 21:33:11,10,-0.6369
2017-09-13 21:33:35,9,-0.4939
2017-09-13 21:34:16,8,0.6239
2017-09-13 21:39:33,9,-0.8885
2017-09-13 21:41:24,9,-0.0258
2017-09-13 21:06:59,17,-0.6452
2017-09-13 21:33:48,17,-0.8834
2017-09-13 19:53:26,7,0.4215
2017-09-13 19:53:47,8,0.6124
2017-09-13 19:53:50,8,0.0
2017-09-13 19:54:04,7,-0.1027
2017-09-13 19:54:24,7,-0.5423
2017-09-13 19:54:32,8,0.0
2017-09-13 19:56:20,8,-0.5859
2017-09-13 19:57:08,9,-0.4215
2017-09-13 19:57:55,9,-0.7587
2017-09-13 19:58:38,8,0.5413
2017-09-13 20:01:38,8,0.8225
2017-09-13 20:02:41,8,0.4215
2017-09-13 20:06:56,9,-0.5106
2017-09-13 20:07:12,9,0.5267
2017-09-13 20:11:03,8,0.8945
2017-09-13 20:14:39,8,-0.2648
2017-09-13 20:23:09,9,0.7096
2017-09-13 20:24:46,8,0.0
2017-09-13 20:24:55,8,-0.3581
2017-09-13 20:25:54,8,0.9714
2017-09-13 20:26:04,8,0.0
2017-09-13 20:28:14,9,0.0
2017-09-13 20:28:41,8,0.4019
2017-09-13 20:28:58,8,-0.4389
2017-09-13 20:29:29,8,0.0
2017-09-13 20:29:33,7,0.7906
2017-09-13 20:29:37,9,0.6249
2017-09-13 20:29:42,8,0.0
2017-09-13 20:30:01,8,-0.8834
2017-09-13 20:30:34,9,-0.4576
2017-09-13 20:30:48,7,-0.646
2017-09-13 20:30:52,7,0.0
2017-09-13 20:31:03,6,0.6124
2017-09-13 20:31:13,8,-0.4667
2017-09-13 20:31:43,7,0.3612
2017-09-13 20:32:55,7,0.0
2017-09-13 20:34:49,8,0.0
2017-09-13 20:36:18,8,-0.7088
2017-09-13 20:36:19,8,-0.8655
2017-09-13 20:41:04,9,0.4215
2017-09-13 20:46:28,8,0.0
2017-09-13 20:55:12,8,0.3724
2017-09-13 20:56:58,8,0.0
2017-09-13 21:00:27,8,0.049
2017-09-13 21:01:00,8,-0.2263
2017-09-13 21:03:51,8,-0.5413
2017-09-13 21:03:57,8,0.4449
2017-09-13 21:07:47,8,-0.6486
2017-09-13 21:09:53,8,0.0772
2017-09-13 21:10:34,8,0.5994
2017-09-13 21:13:05,8,0.0
2017-09-13 21:17:44,8,0.0
2017-09-13 21:20:25,8,0.7506
2017-09-13 21:20:29,8,-0.743
2017-09-13 21:31:35,8,0.0
2017-09-13 21:31:35,8,0.3612
2017-09-13 21:35:51,9,0.5267
2017-09-13 21:44:15,8,0.4019
2017-09-13 19:50:21,21,-0.4404
2017-09-13 19:50:15,15,-0.5423
2017-09-13 19:55:31,14,-0.5719
2017-09-13 19:57:30,14,-0.34
2017-09-13 20:03:06,15,-0.7096
2017-09-13 19:45:51,6,0.3612
