,score,sentiment
2017-08-15 19:52:35,1,0.0
2017-08-15 20:05:58,118,-0.1531
2017-08-15 20:24:47,95,0.0
2017-08-15 20:23:35,77,0.6705
2017-08-15 20:30:26,70,0.8442
2017-08-15 20:32:26,73,0.5473
2017-08-15 20:02:51,125,0.2732
2017-08-15 19:39:51,110,0.4201
2017-08-15 19:40:11,48,0.6249
2017-08-15 20:47:58,45,0.1739
2017-08-15 19:49:44,43,0.0
2017-08-15 20:08:19,39,0.2023
2017-08-15 20:22:18,38,0.0
2017-08-15 20:24:22,36,0.6997
2017-08-15 19:39:41,32,-0.4767
2017-08-15 19:57:22,32,0.144
2017-08-15 20:04:48,30,0.3612
2017-08-15 20:08:42,31,0.743
2017-08-15 20:07:54,56,-0.2732
2017-08-15 20:32:56,25,0.6705
2017-08-15 21:38:23,28,0.296
2017-08-15 20:32:18,25,-0.8519
2017-08-15 20:00:12,23,0.0
2017-08-15 20:38:30,22,-0.284
2017-08-15 20:00:06,22,0.2732
2017-08-15 20:21:32,21,0.0
2017-08-15 20:32:57,20,-0.296
2017-08-15 19:39:38,20,0.0644
2017-08-15 20:13:29,20,-0.5423
2017-08-15 20:08:56,19,0.2023
2017-08-15 19:47:53,41,-0.126
2017-08-15 20:29:49,18,-0.4215
2017-08-15 20:38:24,18,-0.5095
2017-08-15 20:44:32,17,0.6705
2017-08-15 20:02:22,18,0.0
2017-08-15 20:11:04,18,-0.6597
2017-08-15 20:16:43,16,-0.43
2017-08-15 20:23:46,18,0.5267
2017-08-15 20:36:30,17,-0.802
2017-08-15 20:42:01,16,0.4939
2017-08-15 21:12:54,18,0.6399
2017-08-15 21:13:42,17,-0.5267
2017-08-15 19:54:47,16,0.4497
2017-08-15 20:17:14,16,0.4939
2017-08-15 20:29:32,15,0.0408
2017-08-15 20:30:08,14,-0.34
2017-08-15 20:37:18,15,0.4588
2017-08-15 21:01:39,16,0.7906
2017-08-15 20:30:16,13,0.2484
2017-08-15 20:41:08,13,0.5423
2017-08-15 21:28:52,14,0.6369
2017-08-15 21:34:54,15,0.0
2017-08-15 19:42:44,12,-0.4215
2017-08-15 19:49:37,14,0.34
2017-08-15 20:12:46,11,-0.8832
2017-08-15 20:21:09,14,0.0
2017-08-15 20:21:31,13,-0.5859
2017-08-15 20:29:39,13,-0.4019
