,score,sentiment
2017-09-19 19:44:47,1,0.0
2017-09-19 20:02:35,114,0.0
2017-09-19 20:01:47,84,0.0
2017-09-19 21:25:01,70,0.0
2017-09-19 21:30:15,63,-0.5574
2017-09-19 19:47:46,48,0.0516
2017-09-19 19:57:21,46,0.5574
2017-09-19 20:10:35,39,0.4939
2017-09-19 20:26:41,42,0.4019
2017-09-19 21:11:47,41,-0.5267
2017-09-19 20:09:11,37,-0.5574
2017-09-19 21:23:45,35,0.1513
2017-09-19 21:25:46,35,-0.25
2017-09-19 19:59:12,32,0.128
2017-09-19 20:00:14,33,0.0
2017-09-19 20:10:20,35,0.0
2017-09-19 20:32:35,25,-0.5095
2017-09-19 21:23:45,24,0.0
2017-09-19 21:38:19,27,-0.3612
2017-09-19 19:44:38,23,0.7605
2017-09-19 20:33:52,23,0.34
2017-09-19 21:31:59,24,-0.611
2017-09-19 21:30:53,24,-0.4019
2017-09-19 20:20:35,22,0.0
2017-09-19 21:11:24,19,0.0
2017-09-19 21:31:07,20,-0.4526
2017-09-19 20:00:07,19,0.34
2017-09-19 20:26:49,19,0.8795
2017-09-19 20:31:37,20,0.7713
2017-09-19 20:33:10,19,0.1263
2017-09-19 21:11:46,18,-0.9636
2017-09-19 21:38:51,20,-0.34
2017-09-19 19:56:46,17,0.0
2017-09-19 20:14:49,18,-0.5267
2017-09-19 20:16:59,18,-0.2585
2017-09-19 21:09:21,17,0.0
2017-09-19 21:14:07,17,0.7579
2017-09-19 20:37:18,18,-0.8031
2017-09-19 21:09:40,18,0.3597
2017-09-19 21:28:16,17,-0.8554
2017-09-19 19:57:22,17,0.4404
2017-09-19 20:56:09,17,-0.8689
2017-09-19 21:26:13,16,-0.7906
2017-09-19 21:35:32,15,0.0
2017-09-19 21:35:59,17,0.25
2017-09-19 19:56:55,14,0.5461
2017-09-19 20:17:28,15,0.0
2017-09-19 20:19:02,16,0.0
2017-09-19 21:29:39,16,-0.6249
2017-09-19 21:34:29,17,-0.3818
2017-09-19 21:38:19,13,0.7245
2017-09-19 20:33:55,14,0.0
2017-09-19 20:34:21,13,0.7964
2017-09-19 21:11:54,13,-0.09
2017-09-19 21:22:35,15,0.2732
2017-09-19 21:24:44,15,-0.7688
2017-09-19 21:26:25,13,0.0
2017-09-19 21:34:16,14,0.0
2017-09-19 21:34:38,13,-0.7584
2017-09-19 19:57:44,14,0.1027
2017-09-19 20:00:09,13,0.6249
2017-09-19 20:05:13,13,0.4519
2017-09-19 20:17:53,14,-0.5106
2017-09-19 21:03:04,13,0.357
2017-09-19 21:09:38,13,-0.4588
2017-09-19 21:22:54,13,-0.8286
2017-09-19 21:27:02,12,-0.1414
2017-09-19 21:36:11,13,0.5994
2017-09-19 20:09:13,11,0.0
2017-09-19 21:09:34,12,0.0
2017-09-19 21:21:39,12,0.0
2017-09-19 21:26:20,12,-0.4588
2017-09-19 21:30:06,10,-0.5423
2017-09-19 21:37:15,12,-0.814
2017-09-19 20:08:05,27,0.7841
2017-09-19 19:37:13,12,0.2732
2017-09-19 19:48:42,10,0.5859
2017-09-19 19:58:18,10,0.2617
2017-09-19 20:01:42,12,0.0
2017-09-19 20:15:14,11,0.2462
2017-09-19 20:19:03,10,0.0
2017-09-19 20:23:56,10,0.5868
2017-09-19 20:36:30,11,-0.6486
2017-09-19 20:54:14,12,0.5859
2017-09-19 20:55:29,11,0.0
2017-09-19 20:56:36,12,0.3182
2017-09-19 20:57:22,12,-0.8747
2017-09-19 21:03:10,10,0.0
2017-09-19 21:09:43,10,0.0
2017-09-19 21:12:48,10,0.3818
2017-09-19 21:16:27,11,0.0
2017-09-19 21:20:51,12,0.34
2017-09-19 21:23:22,12,0.2732
2017-09-19 21:26:39,12,0.4983
2017-09-19 21:28:08,11,0.5563
2017-09-19 21:31:50,11,0.4939
2017-09-19 21:35:13,11,0.0
2017-09-19 20:36:17,32,0.2732
2017-09-19 21:36:02,33,-0.7712
