,score,sentiment
2017-08-12 11:54:05,113,0.0
2017-08-12 12:40:13,81,0.4019
2017-08-12 12:56:09,70,0.34
2017-08-12 12:19:10,118,-0.5423
2017-08-12 12:47:09,56,0.6369
2017-08-12 13:18:36,56,0.743
2017-08-12 12:00:21,98,0.7506
2017-08-12 12:40:50,42,0.0
2017-08-12 12:39:04,84,0.0
2017-08-12 11:53:49,35,0.6705
2017-08-12 13:26:46,36,-0.7841
2017-08-12 11:55:50,34,0.0
2017-08-12 12:49:31,35,-0.4404
2017-08-12 12:51:52,31,0.743
2017-08-12 13:18:50,60,0.0
2017-08-12 13:11:28,31,-0.7469
2017-08-12 13:18:33,28,0.8402
2017-08-12 13:19:16,29,0.0
2017-08-12 13:19:54,25,0.0
2017-08-12 14:24:56,27,-0.1027
2017-08-12 12:16:32,25,0.296
2017-08-12 12:39:42,67,0.4939
2017-08-12 12:02:12,21,0.6124
2017-08-12 12:49:28,21,-0.7876
2017-08-12 14:29:32,22,0.4767
2017-08-12 11:54:29,20,0.0
2017-08-12 12:00:07,19,0.3612
2017-08-12 14:16:33,21,-0.1695
2017-08-12 13:04:35,19,0.4939
2017-08-12 13:18:34,17,-0.7964
2017-08-12 13:20:50,19,-0.0516
2017-08-12 12:38:22,17,0.0
2017-08-12 12:52:30,19,-0.2243
2017-08-12 13:21:04,17,0.3818
2017-08-12 12:39:56,18,0.4019
2017-08-12 14:04:39,17,-0.2732
2017-08-12 14:26:03,17,-0.5256
2017-08-12 14:32:32,16,0.7738
2017-08-12 14:24:53,14,-0.5423
2017-08-12 14:28:13,15,-0.5423
2017-08-12 14:28:15,16,0.7096
2017-08-12 12:45:52,14,0.34
2017-08-12 12:58:37,14,0.0
2017-08-12 13:13:06,15,0.0
2017-08-12 13:20:45,14,0.2263
2017-08-12 13:23:41,14,-0.2809
2017-08-12 13:39:04,15,-0.7713
2017-08-12 14:08:12,13,0.5445
2017-08-12 14:24:00,12,0.0
2017-08-12 14:26:09,15,0.0
2017-08-12 12:40:39,29,-0.8524
2017-08-12 12:42:48,13,-0.34
2017-08-12 13:06:36,14,0.5859
2017-08-12 13:37:54,14,0.8074
2017-08-12 14:04:15,12,0.5423
2017-08-12 14:24:02,13,0.079
2017-08-12 14:24:51,12,0.0
2017-08-12 14:25:25,13,0.0
2017-08-12 14:25:58,12,0.5518
2017-08-12 14:27:08,13,0.4588
2017-08-12 14:29:30,14,-0.798
2017-08-12 14:32:22,13,-0.0516
2017-08-12 14:44:06,13,-0.9815
2017-08-12 13:29:33,46,-0.887
2017-08-12 12:53:46,13,0.0
2017-08-12 13:07:34,12,0.4404
2017-08-12 13:13:17,12,0.5859
2017-08-12 13:19:51,12,0.0
2017-08-12 13:52:13,12,-0.5574
2017-08-12 13:53:03,12,0.0
2017-08-12 13:58:45,10,-0.5423
2017-08-12 14:04:54,12,-0.3612
2017-08-12 14:04:57,11,0.0
2017-08-12 14:15:37,11,0.2023
2017-08-12 14:23:55,12,0.0
2017-08-12 14:23:57,11,0.0
2017-08-12 14:27:11,12,-0.5106
2017-08-12 14:27:31,12,-0.7125
2017-08-12 14:32:21,12,0.0
2017-08-12 14:32:39,11,0.1882
2017-08-12 12:38:24,27,0.6124
2017-08-12 13:21:55,24,0.0
2017-08-12 12:43:19,11,0.1032
2017-08-12 12:53:41,12,0.34
2017-08-12 12:54:25,11,0.3818
2017-08-12 13:12:17,10,-0.8955
2017-08-12 13:18:07,10,-0.3353
2017-08-12 13:20:47,10,-0.4019
2017-08-12 13:22:35,11,0.2023
2017-08-12 13:26:19,11,-0.2732
2017-08-12 13:34:02,11,-0.296
2017-08-12 13:40:50,11,0.0
2017-08-12 13:50:35,11,0.7096
2017-08-12 13:51:46,10,0.0
2017-08-12 13:55:42,11,-0.4404
2017-08-12 14:00:22,11,-0.69
2017-08-12 14:04:03,10,0.5994
2017-08-12 14:05:28,11,-0.2247
2017-08-12 14:08:46,13,-0.2263
2017-08-12 14:23:50,12,0.0
2017-08-12 14:24:03,11,0.0
2017-08-12 14:24:12,11,-0.6571
2017-08-12 14:24:32,10,0.0
2017-08-12 14:25:36,10,-0.5574
2017-08-12 13:10:42,38,-0.3182
2017-08-12 12:45:15,20,-0.4939
