,score,sentiment
2017-08-19 14:31:16,82,-0.5423
2017-08-19 15:14:57,82,-0.0516
2017-08-19 14:32:40,74,0.0
2017-08-19 15:35:17,68,0.5859
2017-08-19 14:48:31,165,0.6776
2017-08-19 14:34:17,48,-0.4215
2017-08-19 14:50:49,43,0.8316
2017-08-19 15:35:27,39,-0.7089
2017-08-19 15:43:55,31,0.5659
2017-08-19 15:23:38,58,0.2023
2017-08-19 14:32:53,26,0.0
2017-08-19 15:01:58,27,-0.3182
2017-08-19 15:16:55,24,0.0
2017-08-19 15:22:41,24,0.5994
2017-08-19 15:32:29,24,-0.5574
2017-08-19 14:46:29,25,0.3612
2017-08-19 16:50:58,24,-0.1531
2017-08-19 15:29:42,22,0.0
2017-08-19 15:46:06,23,0.0
2017-08-19 15:20:55,19,-0.296
2017-08-19 16:49:28,21,0.2732
2017-08-19 16:24:23,19,0.0
2017-08-19 15:50:49,39,0.4767
2017-08-19 15:20:49,18,0.4019
2017-08-19 15:22:46,17,-0.128
2017-08-19 15:29:03,17,-0.4576
2017-08-19 15:40:09,18,0.7269
2017-08-19 15:58:59,18,0.7902
2017-08-19 15:10:05,17,0.0772
2017-08-19 16:30:03,16,0.4019
2017-08-19 14:32:45,59,-0.8415
2017-08-19 15:21:38,15,0.5175
2017-08-19 15:43:52,15,-0.1761
2017-08-19 15:47:33,15,0.771
2017-08-19 16:21:34,14,0.5994
2017-08-19 16:49:08,15,0.0
2017-08-19 15:32:47,14,0.0
2017-08-19 16:23:15,14,0.5719
2017-08-19 16:41:07,14,0.0
2017-08-19 14:44:20,28,0.1706
2017-08-19 15:35:15,13,0.6369
2017-08-19 15:44:09,13,-0.0498
2017-08-19 16:01:42,13,-0.4588
2017-08-19 16:18:33,14,0.7184
2017-08-19 16:26:03,14,0.7184
2017-08-19 15:19:53,12,0.4404
2017-08-19 15:46:12,11,-0.4767
2017-08-19 15:46:31,12,0.6369
2017-08-19 16:30:35,13,0.0
2017-08-19 16:41:27,13,-0.5423
2017-08-19 16:50:59,12,0.0
2017-08-19 16:52:42,12,0.4019
2017-08-19 15:47:09,27,0.5574
2017-08-19 15:47:21,23,0.1531
2017-08-19 15:16:26,11,0.2023
2017-08-19 15:29:10,11,0.5859
2017-08-19 15:32:30,12,-0.4404
2017-08-19 15:47:20,10,0.5255
2017-08-19 16:25:02,11,0.4603
2017-08-19 16:37:24,11,0.646
2017-08-19 15:19:33,10,0.0
2017-08-19 15:21:05,9,0.0
2017-08-19 15:35:23,10,-0.296
2017-08-19 15:36:00,9,-0.4576
2017-08-19 15:47:26,10,0.4215
2017-08-19 16:02:38,9,0.8738
2017-08-19 16:09:46,10,0.4404
2017-08-19 16:19:09,10,0.4019
2017-08-19 16:35:33,9,-0.5267
2017-08-19 16:40:42,11,-0.4019
2017-08-19 16:40:48,9,0.128
2017-08-19 16:47:01,10,0.5023
2017-08-19 16:53:18,10,0.5859
2017-08-19 15:21:43,8,0.3252
2017-08-19 15:25:46,9,0.0191
2017-08-19 15:32:52,8,0.3412
2017-08-19 15:43:03,9,0.4404
2017-08-19 15:46:24,9,-0.3919
2017-08-19 15:59:47,9,-0.6989
2017-08-19 16:01:26,8,-0.5574
2017-08-19 16:15:38,8,0.0
2017-08-19 16:21:17,8,-0.4582
2017-08-19 16:23:03,9,0.3612
2017-08-19 16:23:58,9,-0.6597
2017-08-19 16:26:01,8,0.0
2017-08-19 16:31:18,9,-0.7845
2017-08-19 16:39:24,9,0.7506
2017-08-19 16:53:35,9,0.0
2017-08-19 16:53:48,9,0.8555
2017-08-19 16:56:05,9,0.9168
2017-08-19 16:56:18,9,0.0
2017-08-19 16:58:24,9,0.0
2017-08-19 15:44:26,16,-0.4215
2017-08-19 15:54:26,32,-0.7239
2017-08-19 15:00:32,7,0.0
2017-08-19 15:04:46,7,0.4404
2017-08-19 15:21:40,9,0.0
2017-08-19 15:22:05,9,0.0
2017-08-19 15:25:49,7,-0.9093
2017-08-19 15:28:19,8,0.0
2017-08-19 15:28:52,8,0.4927
2017-08-19 15:31:32,8,-0.4404
2017-08-19 15:32:11,7,0.0
2017-08-19 15:35:16,9,0.4404
2017-08-19 15:35:35,8,-0.2484
2017-08-19 15:38:22,7,0.7435
2017-08-19 15:46:17,8,-0.3818
2017-08-19 15:53:55,9,-0.5859
2017-08-19 16:09:12,7,0.6697
2017-08-19 16:10:23,8,0.5106
2017-08-19 16:24:08,7,-0.8807
2017-08-19 16:24:41,8,0.0
2017-08-19 16:27:09,8,0.0
2017-08-19 16:30:02,8,0.0
2017-08-19 16:30:13,8,0.0
2017-08-19 16:33:56,8,0.6696
2017-08-19 16:34:56,7,0.0
2017-08-19 16:35:32,8,0.0
2017-08-19 16:41:50,8,0.0772
2017-08-19 16:47:32,8,0.3612
2017-08-19 16:49:04,8,0.0
2017-08-19 16:49:12,8,0.2732
2017-08-19 16:50:24,8,0.6808
2017-08-19 16:51:42,8,-0.0258
2017-08-19 16:42:51,15,0.3612
2017-08-19 16:52:48,15,0.2263
2017-08-19 15:48:22,23,-0.5795
2017-08-19 14:34:11,12,0.8316
2017-08-19 14:38:08,7,0.2672
2017-08-19 14:56:49,7,-0.4228
2017-08-19 15:14:40,7,0.0
2017-08-19 15:14:56,8,0.6249
2017-08-19 15:15:27,8,0.0
2017-08-19 15:15:58,6,-0.3804
2017-08-19 15:17:08,8,-0.4939
2017-08-19 15:17:30,7,-0.3182
2017-08-19 15:31:55,6,-0.2263
2017-08-19 15:32:14,7,0.34
2017-08-19 15:33:00,5,-0.8422
2017-08-19 15:34:44,6,0.5106
2017-08-19 15:35:06,8,0.6369
2017-08-19 15:35:15,7,0.0
2017-08-19 15:35:34,7,0.4927
2017-08-19 15:35:38,7,0.6369
2017-08-19 15:36:03,6,0.7783
2017-08-19 15:39:48,7,0.1027
2017-08-19 15:39:59,7,-0.4767
2017-08-19 15:41:29,7,0.3818
2017-08-19 15:47:12,7,0.3008
2017-08-19 15:52:22,6,0.3612
2017-08-19 15:53:28,8,0.7717
2017-08-19 16:12:53,7,0.4404
2017-08-19 16:16:22,7,0.0
2017-08-19 16:16:34,6,0.0
2017-08-19 16:18:17,7,0.0
2017-08-19 16:19:05,6,-0.7506
2017-08-19 16:19:34,7,0.6808
2017-08-19 16:20:18,7,0.6369
2017-08-19 16:20:58,7,0.4939
2017-08-19 16:22:00,8,0.32
2017-08-19 16:22:42,7,-0.3182
2017-08-19 16:25:36,8,0.0
2017-08-19 16:25:47,7,0.6908
2017-08-19 16:25:56,8,0.4195
2017-08-19 16:26:34,6,-0.34
2017-08-19 16:28:51,6,0.0
2017-08-19 16:29:21,8,0.0
2017-08-19 16:30:13,7,0.0
2017-08-19 16:31:22,8,0.8807
2017-08-19 16:32:13,7,0.0
2017-08-19 16:34:43,7,0.5423
2017-08-19 16:36:38,7,-0.128
2017-08-19 16:36:41,8,0.0
2017-08-19 16:36:53,8,-0.25
2017-08-19 16:42:05,7,0.6369
2017-08-19 16:43:11,7,0.765
2017-08-19 16:43:17,7,0.0
2017-08-19 16:43:52,7,-0.5423
2017-08-19 16:46:06,7,0.3182
2017-08-19 16:46:34,7,0.0
2017-08-19 16:47:45,7,0.714
2017-08-19 16:49:38,8,0.0
