,score,sentiment
2017-08-27 16:03:58,1,0.0
2017-08-27 16:04:47,130,0.7269
2017-08-27 16:30:16,113,0.705
2017-08-27 16:28:37,76,-0.7178
2017-08-27 16:29:35,76,-0.1601
2017-08-27 16:43:53,72,-0.5423
2017-08-27 16:43:54,71,0.8481
2017-08-27 16:02:59,67,0.4927
2017-08-27 16:11:09,53,-0.4215
2017-08-27 16:42:03,48,0.4712
2017-08-27 16:45:10,49,0.0
2017-08-27 16:03:02,46,0.0
2017-08-27 16:28:47,42,0.4215
2017-08-27 16:11:10,37,0.5423
2017-08-27 16:35:34,33,0.0
2017-08-27 16:43:42,33,-0.5859
2017-08-27 16:52:14,32,0.0
2017-08-27 16:57:39,33,0.8883
2017-08-27 17:42:06,32,-0.2263
2017-08-27 16:46:30,28,0.6369
2017-08-27 16:51:03,28,0.3612
2017-08-27 17:16:32,25,0.7125
2017-08-27 17:46:38,26,0.7191
2017-08-27 16:46:21,25,0.0
2017-08-27 17:15:52,24,0.0
2017-08-27 17:50:01,25,0.0
2017-08-27 16:04:48,22,0.0
2017-08-27 17:32:12,24,0.2975
2017-08-27 17:43:54,21,0.0
2017-08-27 17:43:58,21,0.0
2017-08-27 16:36:23,18,0.0
2017-08-27 16:45:01,19,-0.5868
2017-08-27 17:07:50,20,-0.3164
2017-08-27 16:50:12,42,0.0
2017-08-27 16:42:56,18,0.5267
2017-08-27 17:31:19,19,0.0
2017-08-27 17:44:44,19,-0.2263
2017-08-27 16:29:30,17,-0.5423
2017-08-27 16:53:34,17,-0.5574
2017-08-27 17:26:55,17,0.7902
2017-08-27 16:12:16,16,0.7522
2017-08-27 17:43:07,17,0.0108
2017-08-27 16:36:11,14,0.0
2017-08-27 16:45:55,14,-0.6797
2017-08-27 16:35:54,14,-0.6408
2017-08-27 16:45:07,14,-0.5563
2017-08-27 16:34:54,12,-0.34
2017-08-27 16:38:46,13,-0.296
2017-08-27 16:42:20,15,0.0
2017-08-27 16:49:03,13,0.0
2017-08-27 16:58:10,13,0.2263
2017-08-27 17:14:53,13,0.0
2017-08-27 17:30:27,14,-0.0772
2017-08-27 17:41:38,13,0.0
2017-08-27 17:42:09,13,0.2263
2017-08-27 17:45:16,13,-0.1027
2017-08-27 17:49:10,13,0.0
2017-08-27 16:22:17,14,-0.7717
2017-08-27 16:24:50,11,0.0
