,score,sentiment
2017-09-09 12:40:03,1,-0.3182
2017-09-09 13:03:37,120,0.7841
2017-09-09 13:15:22,98,-0.5499
2017-09-09 13:15:54,90,0.4588
2017-09-09 13:16:28,155,0.2577
2017-09-09 13:02:25,61,0.3182
2017-09-09 12:42:05,46,0.5574
2017-09-09 13:54:33,48,0.7269
2017-09-09 13:54:55,35,-0.5647
2017-09-09 12:32:19,32,0.5473
2017-09-09 12:56:19,29,0.2732
2017-09-09 13:55:35,32,0.5574
2017-09-09 13:56:07,30,0.6249
2017-09-09 14:19:10,31,-0.5719
2017-09-09 13:58:46,56,-0.8079
2017-09-09 13:11:34,25,-0.765
2017-09-09 13:24:26,25,0.0
2017-09-09 14:06:09,30,-0.7579
2017-09-09 14:14:19,27,0.7351
2017-09-09 13:13:00,73,-0.4063
2017-09-09 12:33:29,23,0.0
2017-09-09 14:09:20,25,0.3818
2017-09-09 14:24:27,21,0.0
2017-09-09 14:08:56,48,0.0
2017-09-09 13:15:10,62,-0.5904
2017-09-09 13:42:47,21,-0.6671
2017-09-09 13:51:20,21,-0.8658
2017-09-09 13:53:51,22,-0.2732
2017-09-09 12:42:41,21,0.4404
2017-09-09 13:59:53,20,0.8628
2017-09-09 14:13:08,20,-0.8658
2017-09-09 14:24:29,20,0.0258
2017-09-09 14:07:18,20,-0.5618
2017-09-09 13:42:13,37,0.0
2017-09-09 12:42:44,17,-0.296
2017-09-09 13:36:24,18,-0.4767
2017-09-09 14:12:15,18,0.0258
2017-09-09 14:14:30,19,-0.1027
2017-09-09 14:24:16,19,0.0
2017-09-09 13:54:47,17,-0.6662
2017-09-09 14:08:51,16,-0.0202
2017-09-09 14:21:18,16,-0.6369
2017-09-09 12:18:51,34,0.7845
2017-09-09 13:24:38,16,0.0
2017-09-09 14:03:51,17,-0.7498
2017-09-09 14:25:02,18,0.128
2017-09-09 14:27:04,15,-0.6369
2017-09-09 13:02:25,15,-0.4939
2017-09-09 13:23:44,15,-0.0772
2017-09-09 13:41:30,16,0.2263
2017-09-09 13:55:03,14,-0.0572
2017-09-09 13:57:55,14,0.4404
