,score,sentiment
2017-09-16 15:30:00,1,0.0
2017-09-16 15:45:57,84,0.0
2017-09-16 15:15:01,53,0.25
2017-09-16 15:12:35,35,0.4404
2017-09-16 14:56:41,34,-0.8043
2017-09-16 15:13:12,31,-0.5984
2017-09-16 15:18:01,34,0.0
2017-09-16 15:28:25,32,0.0
2017-09-16 15:55:26,27,0.6553
2017-09-16 15:47:07,22,0.0
2017-09-16 15:26:29,47,-0.5267
2017-09-16 15:39:01,20,0.3612
2017-09-16 15:48:18,37,-0.7227
2017-09-16 16:07:55,18,0.5106
2017-09-16 14:47:14,64,0.3927
2017-09-16 16:08:06,17,0.7345
2017-09-16 15:33:17,60,-0.4767
2017-09-16 15:38:43,15,0.2263
2017-09-16 15:44:08,14,0.4005
2017-09-16 15:17:47,14,0.0
2017-09-16 15:48:16,13,0.0
2017-09-16 16:05:42,14,0.5106
2017-09-16 16:07:38,13,0.7096
2017-09-16 15:38:15,12,0.0
2017-09-16 14:44:10,10,0.4767
2017-09-16 15:08:39,11,0.2263
2017-09-16 16:28:43,11,0.0
2017-09-16 16:46:16,11,-0.2732
2017-09-16 15:24:07,30,0.7783
2017-09-16 15:26:47,21,-0.5965
2017-09-16 15:12:45,9,0.6369
2017-09-16 15:39:11,11,0.0
2017-09-16 15:39:22,10,0.0
2017-09-16 16:50:43,10,0.7906
2017-09-16 15:24:58,9,0.3612
2017-09-16 15:51:44,9,-0.9247
2017-09-16 16:26:45,9,-0.4033
2017-09-16 16:51:47,9,0.0
2017-09-16 15:26:44,16,0.2433
2017-09-16 15:29:55,16,-0.5106
2017-09-16 15:10:09,7,0.0
2017-09-16 15:31:27,7,0.7845
2017-09-16 15:32:49,8,0.5053
2017-09-16 15:36:02,8,0.3182
2017-09-16 15:36:22,8,0.0
2017-09-16 15:38:28,9,0.5859
2017-09-16 15:38:31,8,0.4019
2017-09-16 15:42:53,8,-0.6124
2017-09-16 15:43:46,8,0.34
2017-09-16 15:44:32,8,0.0
2017-09-16 15:45:14,8,0.3818
2017-09-16 15:50:38,8,-0.3736
2017-09-16 16:14:10,8,-0.836
2017-09-16 16:28:44,9,-0.1531
2017-09-16 16:52:04,8,0.5622
2017-09-16 15:46:40,22,-0.2732
2017-09-16 15:58:55,21,0.0516
2017-09-16 15:41:34,14,0.7506
2017-09-16 15:48:50,14,-0.1406
2017-09-16 16:09:23,14,0.0
2017-09-16 15:06:45,8,0.0
2017-09-16 15:19:37,8,-0.128
2017-09-16 15:34:19,7,-0.5267
2017-09-16 15:37:33,8,-0.2003
2017-09-16 15:37:49,8,-0.1027
2017-09-16 15:39:03,7,-0.8271
2017-09-16 15:41:59,8,-0.296
2017-09-16 15:49:27,7,-0.2732
2017-09-16 15:53:29,7,0.0
2017-09-16 15:55:32,7,-0.2023
2017-09-16 15:56:35,7,0.3578
2017-09-16 16:08:51,7,0.7003
2017-09-16 16:08:57,7,-0.5423
2017-09-16 16:11:44,7,-0.5423
2017-09-16 16:13:41,7,-0.7543
2017-09-16 16:15:59,8,0.0772
2017-09-16 16:18:46,7,0.0
2017-09-16 16:22:36,7,0.0
2017-09-16 16:22:57,8,0.6476
2017-09-16 16:25:16,8,-0.5106
2017-09-16 16:25:18,7,0.0
2017-09-16 16:27:23,8,0.0
2017-09-16 16:28:33,8,0.0
2017-09-16 16:31:13,8,-0.5719
2017-09-16 16:34:06,8,0.0
2017-09-16 16:42:22,7,0.0
2017-09-16 16:44:46,8,0.0
2017-09-16 16:44:59,7,0.7227
2017-09-16 16:46:03,7,0.0
2017-09-16 16:51:34,7,-0.3818
2017-09-16 16:53:16,7,-0.5423
2017-09-16 16:53:37,7,-0.5106
2017-09-16 16:54:58,7,-0.6621
2017-09-16 16:57:00,7,0.4215
2017-09-16 15:26:52,14,-0.4404
2017-09-16 15:34:41,12,0.1513
2017-09-16 15:46:40,12,0.0
2017-09-16 15:03:54,5,0.7184
2017-09-16 15:14:14,6,-0.6486
2017-09-16 15:14:42,6,0.4927
2017-09-16 15:16:47,6,-0.7964
2017-09-16 15:21:09,7,0.6369
2017-09-16 15:22:15,5,0.4003
2017-09-16 15:23:28,5,0.6705
2017-09-16 15:24:58,7,0.0
2017-09-16 15:25:32,5,-0.3182
2017-09-16 15:26:45,7,0.0
2017-09-16 15:26:53,6,-0.0772
2017-09-16 15:26:54,6,0.0
2017-09-16 15:26:55,6,0.1779
2017-09-16 15:28:04,6,0.0
2017-09-16 15:28:18,7,0.6369
2017-09-16 15:28:57,7,-0.7717
2017-09-16 15:30:01,6,0.2732
2017-09-16 15:30:20,7,0.0
2017-09-16 15:30:20,6,-0.0516
2017-09-16 15:30:50,5,0.0
2017-09-16 15:31:36,5,0.0
2017-09-16 15:31:37,6,-0.4767
2017-09-16 15:31:58,5,0.0
2017-09-16 15:32:52,6,0.0
2017-09-16 15:35:38,7,0.3182
2017-09-16 15:36:40,7,0.5859
2017-09-16 15:36:52,7,0.128
2017-09-16 15:37:18,5,0.0
2017-09-16 15:38:20,7,-0.5009
2017-09-16 15:38:47,6,0.0
2017-09-16 15:42:18,6,-0.34
2017-09-16 15:46:19,6,-0.6825
2017-09-16 15:47:46,6,-0.3597
2017-09-16 16:07:46,6,0.0
2017-09-16 16:08:06,6,-0.1779
2017-09-16 16:08:24,6,0.0
2017-09-16 16:09:39,6,0.128
2017-09-16 16:10:34,6,0.0
2017-09-16 16:11:45,6,0.3612
2017-09-16 16:12:19,6,0.6166
2017-09-16 16:17:25,7,0.5994
2017-09-16 16:22:37,7,-0.4767
2017-09-16 16:22:45,6,0.6841
2017-09-16 16:23:19,6,-0.4927
2017-09-16 16:23:53,7,-0.4767
2017-09-16 16:28:41,7,-0.5574
2017-09-16 16:29:37,7,0.0
2017-09-16 16:31:24,7,0.0
2017-09-16 16:31:42,7,0.0
2017-09-16 16:34:06,7,-0.5859
2017-09-16 16:34:12,7,0.4939
2017-09-16 16:35:20,6,0.3597
2017-09-16 16:35:49,6,0.0
2017-09-16 16:48:21,6,-0.296
2017-09-16 16:49:03,6,-0.3391
2017-09-16 16:49:08,6,-0.34
2017-09-16 16:51:31,6,0.4019
2017-09-16 16:51:58,6,-0.2263
2017-09-16 16:52:42,6,0.2714
2017-09-16 16:52:46,6,-0.5709
2017-09-16 16:52:57,6,0.0018
2017-09-16 16:53:04,6,-0.7579
2017-09-16 16:55:20,6,0.34
2017-09-16 15:00:15,16,-0.9006
2017-09-16 15:32:13,16,-0.3412
2017-09-16 16:46:39,16,0.0
2017-09-16 16:49:39,16,-0.4767
2017-09-16 15:09:29,11,0.0
2017-09-16 15:31:38,11,0.0
2017-09-16 15:41:14,12,-0.0679
2017-09-16 16:45:54,11,-0.2614
2017-09-16 16:51:39,11,-0.7579
2017-09-16 16:46:24,24,0.0
2017-09-16 15:44:49,14,0.6808
2017-09-16 15:18:37,10,-0.0772
2017-09-16 15:41:36,11,0.0
2017-09-16 15:42:47,10,0.0
2017-09-16 15:02:25,4,0.8689
2017-09-16 15:07:39,4,0.0
2017-09-16 15:08:14,6,0.3612
2017-09-16 15:08:58,6,0.0
2017-09-16 15:16:10,5,0.0
2017-09-16 15:19:41,4,0.0
2017-09-16 15:23:40,5,0.5932
2017-09-16 15:24:23,5,0.8634
2017-09-16 15:25:01,6,0.2081
2017-09-16 15:26:09,5,0.25
2017-09-16 15:26:19,5,-0.5423
2017-09-16 15:26:29,5,-0.5423
2017-09-16 15:26:35,5,0.0
2017-09-16 15:26:43,6,0.4404
2017-09-16 15:26:49,5,-0.5423
2017-09-16 15:27:34,6,0.0
2017-09-16 15:27:40,5,-0.5267
2017-09-16 15:27:57,5,-0.7346
2017-09-16 15:27:59,5,-0.5709
2017-09-16 15:28:17,5,0.0
2017-09-16 15:28:25,5,-0.3612
2017-09-16 15:29:00,6,0.0
2017-09-16 15:29:04,4,-0.5984
2017-09-16 15:30:26,5,0.4753
2017-09-16 15:30:30,6,0.6124
2017-09-16 15:31:22,5,-0.5809
2017-09-16 15:31:28,5,0.5859
2017-09-16 15:32:04,5,0.3612
2017-09-16 15:32:52,6,-0.7184
2017-09-16 15:33:49,5,-0.4939
2017-09-16 15:35:09,5,-0.34
2017-09-16 15:35:57,4,0.0
2017-09-16 15:36:41,5,-0.4019
2017-09-16 15:38:16,6,-0.34
2017-09-16 15:38:25,4,0.0
2017-09-16 15:42:03,5,-0.5574
2017-09-16 15:44:09,5,0.3612
2017-09-16 15:44:55,5,0.0
2017-09-16 15:45:20,5,0.5245
2017-09-16 15:49:48,5,-0.2732
2017-09-16 15:58:17,5,0.7506
2017-09-16 16:05:00,5,0.0
2017-09-16 16:05:04,6,0.7003
2017-09-16 16:06:36,5,0.431
2017-09-16 16:07:32,5,0.7351
2017-09-16 16:09:15,5,0.6369
2017-09-16 16:09:45,5,-0.2732
2017-09-16 16:13:25,5,0.0
2017-09-16 16:13:47,5,0.0
2017-09-16 16:13:51,5,0.0
2017-09-16 16:14:45,5,0.0772
2017-09-16 16:22:34,6,-0.8651
2017-09-16 16:23:02,5,-0.4404
2017-09-16 16:23:39,6,0.3612
2017-09-16 16:23:40,6,0.0
2017-09-16 16:25:54,5,-0.1027
2017-09-16 16:27:31,5,0.5563
2017-09-16 16:27:39,5,0.6369
2017-09-16 16:30:15,6,0.0
2017-09-16 16:30:24,5,-0.6696
2017-09-16 16:31:13,6,0.0
2017-09-16 16:31:21,6,-0.296
2017-09-16 16:33:28,6,0.4215
2017-09-16 16:34:07,6,-0.3815
2017-09-16 16:35:01,5,0.7184
2017-09-16 16:35:06,5,0.0
2017-09-16 16:35:32,5,0.4404
2017-09-16 16:35:45,5,-0.4404
2017-09-16 16:36:05,5,0.0
2017-09-16 16:37:46,6,0.0
2017-09-16 16:39:40,5,-0.7574
2017-09-16 16:41:42,5,-0.8228
2017-09-16 16:42:20,5,-0.296
2017-09-16 16:44:05,6,-0.6731
2017-09-16 16:44:33,5,-0.4795
2017-09-16 16:45:53,5,-0.6597
2017-09-16 16:46:14,5,-0.7156
2017-09-16 16:49:12,5,-0.296
2017-09-16 16:53:18,5,0.0
2017-09-16 15:06:29,9,0.5994
2017-09-16 15:14:44,9,0.0
2017-09-16 15:38:09,8,0.4663
2017-09-16 16:32:51,10,0.4201
2017-09-16 16:35:35,8,-0.1779
2017-09-16 16:55:41,12,0.3249
2017-09-16 15:28:07,8,0.0
2017-09-16 15:49:19,8,-0.4019
2017-09-16 16:39:41,8,-0.7964
2017-09-16 16:48:27,8,-0.8055
2017-09-16 14:53:29,3,-0.2565
2017-09-16 15:05:38,3,-0.296
2017-09-16 15:07:08,3,0.4404
2017-09-16 15:08:35,4,0.8225
2017-09-16 15:09:06,5,0.2023
2017-09-16 15:10:33,3,0.3612
2017-09-16 15:11:08,4,0.0
2017-09-16 15:12:33,5,0.0
2017-09-16 15:12:39,3,0.0
2017-09-16 15:13:50,4,0.8316
2017-09-16 15:17:09,4,0.6369
2017-09-16 15:17:37,4,0.0
2017-09-16 15:18:13,4,0.783
2017-09-16 15:19:15,3,0.0
2017-09-16 15:19:22,4,0.0
2017-09-16 15:20:21,5,0.3612
2017-09-16 15:22:53,5,0.4215
2017-09-16 15:26:30,4,0.296
2017-09-16 15:26:41,4,0.0
2017-09-16 15:26:51,3,-0.624
2017-09-16 15:27:03,4,0.3444
2017-09-16 15:27:18,4,0.0
2017-09-16 15:27:18,4,0.0
2017-09-16 15:27:22,4,-0.34
2017-09-16 15:27:24,4,0.4939
2017-09-16 15:27:28,5,0.0
2017-09-16 15:27:29,4,-0.3182
2017-09-16 15:27:34,3,0.0
2017-09-16 15:27:39,4,0.3597
2017-09-16 15:27:39,3,0.1889
2017-09-16 15:27:40,4,-0.923
2017-09-16 15:27:49,4,0.0
2017-09-16 15:27:59,4,0.0
2017-09-16 15:27:59,4,-0.5574
2017-09-16 15:28:00,3,0.1759
2017-09-16 15:28:12,4,0.0
2017-09-16 15:28:13,3,-0.3818
2017-09-16 15:28:22,4,0.3818
2017-09-16 15:28:32,3,0.3612
2017-09-16 15:28:34,5,0.4215
2017-09-16 15:29:35,4,0.5562
2017-09-16 15:29:44,5,0.1027
2017-09-16 15:29:53,3,0.745
2017-09-16 15:29:55,3,0.2263
2017-09-16 15:29:56,4,-0.024
2017-09-16 15:30:23,4,0.5267
2017-09-16 15:30:29,4,0.0
2017-09-16 15:30:29,4,0.0
2017-09-16 15:30:30,3,-0.6597
2017-09-16 15:30:32,3,0.6697
2017-09-16 15:30:33,3,0.5719
2017-09-16 15:30:36,5,0.4588
2017-09-16 15:30:52,4,-0.4019
2017-09-16 15:31:13,4,0.0
2017-09-16 15:31:29,5,-0.7506
2017-09-16 15:31:30,3,-0.5423
2017-09-16 15:31:35,3,0.7184
2017-09-16 15:31:52,4,-0.438
2017-09-16 15:31:53,5,0.6199
2017-09-16 15:31:53,5,0.0
2017-09-16 15:31:59,4,0.0
2017-09-16 15:34:25,4,0.0
2017-09-16 15:34:27,4,0.3612
2017-09-16 15:36:18,4,0.0516
2017-09-16 15:37:21,3,0.3818
2017-09-16 15:38:05,5,0.9557
2017-09-16 15:42:15,4,0.0
2017-09-16 15:42:34,4,0.0
2017-09-16 15:42:47,4,0.0
2017-09-16 15:45:14,4,0.2745
2017-09-16 15:47:35,4,0.3612
2017-09-16 15:49:45,4,0.0
2017-09-16 15:52:08,4,0.0772
2017-09-16 15:54:33,4,0.4939
2017-09-16 16:03:25,5,-0.5945
2017-09-16 16:03:49,5,-0.4019
2017-09-16 16:05:26,5,0.0
2017-09-16 16:05:49,4,0.4215
2017-09-16 16:12:11,4,0.4215
2017-09-16 16:12:20,4,0.0
2017-09-16 16:12:45,4,0.0
2017-09-16 16:13:37,4,-0.5859
2017-09-16 16:15:54,5,-0.5859
2017-09-16 16:16:04,4,0.0772
2017-09-16 16:16:35,5,0.4404
2017-09-16 16:16:46,5,0.0
2017-09-16 16:17:21,4,0.4404
2017-09-16 16:17:29,5,0.0
2017-09-16 16:17:43,5,0.0
2017-09-16 16:17:46,5,0.368
2017-09-16 16:17:53,4,-0.5635
2017-09-16 16:18:01,5,0.6249
2017-09-16 16:18:12,4,-0.1719
2017-09-16 16:19:18,4,0.2382
2017-09-16 16:20:00,5,-0.4019
2017-09-16 16:21:44,5,0.5423
2017-09-16 16:22:56,5,0.6369
2017-09-16 16:24:54,4,0.3182
2017-09-16 16:25:20,4,0.5106
2017-09-16 16:26:08,4,-0.7003
2017-09-16 16:26:12,4,0.0
2017-09-16 16:26:18,4,-0.5859
2017-09-16 16:26:52,4,-0.6597
2017-09-16 16:28:31,4,-0.5859
2017-09-16 16:28:36,5,0.0
2017-09-16 16:29:20,5,0.5719
2017-09-16 16:29:40,5,0.6369
2017-09-16 16:30:01,4,0.0
2017-09-16 16:30:17,4,-0.6113
2017-09-16 16:30:21,5,-0.6113
2017-09-16 16:30:21,4,0.0
2017-09-16 16:30:35,5,0.0
2017-09-16 16:30:51,5,-0.5707
2017-09-16 16:30:55,5,0.0
2017-09-16 16:31:18,5,0.0
2017-09-16 16:33:44,4,0.0
2017-09-16 16:35:08,4,0.4404
2017-09-16 16:35:23,4,0.0
2017-09-16 16:35:42,4,0.0
2017-09-16 16:37:29,5,0.2263
2017-09-16 16:39:11,4,-0.6908
2017-09-16 16:39:13,4,0.4173
2017-09-16 16:39:36,4,0.0
2017-09-16 16:39:39,4,0.3384
2017-09-16 16:39:56,4,-0.8074
2017-09-16 16:41:12,4,-0.4588
