,score,sentiment
2017-09-23 17:35:32,1,0.3612
2017-09-23 17:30:22,122,0.8126
2017-09-23 17:41:15,40,0.0
2017-09-23 18:19:08,40,-0.34
2017-09-23 17:33:10,38,0.6892
2017-09-23 18:05:24,35,-0.5849
2017-09-23 18:20:33,40,-0.594
2017-09-23 18:24:29,57,0.1045
2017-09-23 17:47:52,25,0.5411
2017-09-23 17:48:35,26,0.5631
2017-09-23 18:12:11,27,0.6705
2017-09-23 18:37:03,28,0.0
2017-09-23 18:02:37,24,0.8678
2017-09-23 18:20:55,24,-0.7351
2017-09-23 18:21:13,24,0.2263
2017-09-23 18:18:38,23,-0.7849
2017-09-23 18:35:49,22,-0.8074
2017-09-23 17:37:09,20,0.0
2017-09-23 17:53:13,22,0.5106
2017-09-23 18:31:13,21,-0.4973
2017-09-23 18:49:28,22,-0.5859
2017-09-23 19:16:52,22,-0.1779
2017-09-23 19:16:25,20,-0.4588
2017-09-23 19:16:51,20,-0.7351
2017-09-23 18:22:42,19,-0.9231
2017-09-23 18:23:01,18,0.0
2017-09-23 18:49:45,19,0.0
2017-09-23 19:15:49,19,0.6808
2017-09-23 19:15:55,19,0.34
2017-09-23 17:55:27,18,0.2991
2017-09-23 18:18:35,18,-0.7269
2017-09-23 18:22:33,18,-0.7543
2017-09-23 18:24:12,17,-0.2519
2017-09-23 18:19:23,16,0.34
2017-09-23 18:19:32,16,-0.8836
2017-09-23 18:28:48,16,-0.4019
2017-09-23 18:35:03,16,-0.5423
2017-09-23 18:07:47,15,-0.5052
2017-09-23 18:20:35,15,-0.296
2017-09-23 18:20:49,15,-0.3536
2017-09-23 18:23:02,15,-0.8658
2017-09-23 18:27:02,15,0.0
2017-09-23 18:47:03,16,0.0516
2017-09-23 18:18:21,14,-0.5423
2017-09-23 18:20:30,14,0.6437
2017-09-23 18:20:38,14,0.6908
2017-09-23 18:22:30,14,0.5267
2017-09-23 18:39:13,14,0.0
2017-09-23 18:46:48,13,-0.7351
2017-09-23 18:48:09,15,0.6249
2017-09-23 19:18:19,15,0.5859
2017-09-23 19:20:41,14,0.0258
2017-09-23 18:19:58,13,-0.4767
2017-09-23 18:44:50,13,-0.5994
2017-09-23 18:58:33,13,-0.1027
2017-09-23 19:19:54,14,0.0
2017-09-23 19:20:38,13,0.4588
2017-09-23 17:41:36,11,0.0772
2017-09-23 18:04:48,12,0.0
2017-09-23 18:06:56,12,0.0
2017-09-23 18:19:56,12,-0.3182
2017-09-23 18:26:20,12,-0.743
2017-09-23 18:26:25,12,0.0
2017-09-23 18:26:28,12,-0.7947
2017-09-23 18:27:35,12,0.4215
2017-09-23 18:29:52,12,-0.9175
2017-09-23 18:45:23,12,0.3182
2017-09-23 18:45:31,13,0.0
2017-09-23 19:11:19,14,0.0
2017-09-23 19:13:45,13,0.0
2017-09-23 19:19:06,14,-0.5106
2017-09-23 16:54:40,25,-0.4466
2017-09-23 19:16:04,23,0.2982
2017-09-23 17:48:41,12,0.296
2017-09-23 17:54:42,11,-0.7351
2017-09-23 18:14:57,11,0.3182
2017-09-23 18:19:18,11,0.5574
2017-09-23 18:20:46,10,-0.4215
2017-09-23 18:23:44,11,-0.5848
2017-09-23 18:28:08,11,-0.6369
2017-09-23 18:28:11,11,-0.4404
2017-09-23 18:37:15,11,-0.9652
2017-09-23 18:44:17,11,0.0
2017-09-23 18:45:03,11,0.0
2017-09-23 18:46:47,12,-0.3976
2017-09-23 18:48:02,13,-0.5267
2017-09-23 19:05:00,13,-0.8807
2017-09-23 19:13:10,12,0.3612
2017-09-23 18:10:41,10,0.0
2017-09-23 18:18:39,10,-0.4404
2017-09-23 18:22:52,10,0.4005
2017-09-23 18:24:13,10,-0.5943
2017-09-23 18:33:10,10,-0.6428
2017-09-23 18:35:59,10,0.688
2017-09-23 18:37:58,10,-0.4927
2017-09-23 18:39:03,10,-0.0183
2017-09-23 18:39:09,10,0.0
2017-09-23 18:39:42,10,-0.5994
2017-09-23 18:44:46,10,-0.7645
2017-09-23 18:44:54,10,-0.8493
2017-09-23 18:45:14,10,0.3597
2017-09-23 18:45:21,10,-0.64
2017-09-23 18:45:22,10,0.34
2017-09-23 18:51:04,10,0.5267
2017-09-23 18:53:37,10,-0.594
2017-09-23 19:00:52,10,-0.5859
2017-09-23 19:01:47,10,-0.6901
2017-09-23 19:11:36,11,-0.4939
2017-09-23 19:13:37,11,0.4754
2017-09-23 19:15:08,11,0.0
2017-09-23 19:15:54,11,0.296
2017-09-23 19:17:26,10,0.0
2017-09-23 19:17:40,10,0.0258
2017-09-23 19:20:50,10,-0.4939
2017-09-23 19:04:03,19,-0.9691
2017-09-23 17:48:04,10,0.0
2017-09-23 17:49:45,11,0.0
2017-09-23 17:57:04,9,0.8738
2017-09-23 18:03:03,9,0.0
2017-09-23 18:07:16,9,0.0
2017-09-23 18:14:16,9,0.5106
2017-09-23 18:17:49,9,-0.34
2017-09-23 18:22:14,9,-0.0577
2017-09-23 18:22:26,9,-0.0333
2017-09-23 18:23:55,9,0.2698
2017-09-23 18:26:18,9,0.6486
2017-09-23 18:34:50,9,-0.4767
2017-09-23 18:38:25,9,-0.8207
2017-09-23 18:45:10,9,-0.7356
2017-09-23 18:45:12,9,-0.836
2017-09-23 18:45:49,10,-0.5423
2017-09-23 18:46:47,9,-0.2263
2017-09-23 18:46:52,10,-0.5574
2017-09-23 18:48:48,9,0.7003
2017-09-23 18:53:00,9,0.0
2017-09-23 18:56:05,9,0.0
2017-09-23 19:03:28,9,-0.6369
2017-09-23 19:06:16,9,0.6346
2017-09-23 19:12:37,10,0.0
2017-09-23 19:13:49,10,-0.5574
2017-09-23 19:14:00,10,0.4404
2017-09-23 19:15:55,10,-0.5423
2017-09-23 19:18:04,9,-0.5859
2017-09-23 19:19:33,10,-0.5423
2017-09-23 19:20:12,9,-0.5423
2017-09-23 19:21:31,9,0.0
2017-09-23 18:19:25,41,-0.7672
2017-09-23 17:47:46,16,-0.6808
2017-09-23 16:56:24,8,0.3612
2017-09-23 17:26:29,8,0.9217
2017-09-23 17:44:10,7,0.0
2017-09-23 17:47:09,8,-0.7184
2017-09-23 17:48:24,8,0.0
2017-09-23 17:49:29,8,-0.1531
2017-09-23 17:53:08,8,0.7089
2017-09-23 17:54:35,8,0.296
2017-09-23 17:57:03,8,0.6948
2017-09-23 18:02:12,8,0.0
2017-09-23 18:02:16,8,0.0
2017-09-23 18:03:42,9,0.7906
2017-09-23 18:06:08,8,0.4939
2017-09-23 18:08:32,9,0.0
2017-09-23 18:11:09,8,0.0
2017-09-23 18:14:17,8,0.0772
2017-09-23 18:15:50,9,0.4215
2017-09-23 18:19:08,8,-0.5574
2017-09-23 18:19:30,8,-0.1045
2017-09-23 18:20:11,8,0.5938
2017-09-23 18:22:31,8,0.6124
2017-09-23 18:23:31,8,-0.6115
2017-09-23 18:32:41,8,0.0
2017-09-23 18:44:55,8,-0.7717
2017-09-23 18:45:32,8,0.5859
2017-09-23 18:46:15,8,-0.5789
2017-09-23 18:46:22,9,0.0083
2017-09-23 18:52:13,9,-0.0772
2017-09-23 18:55:59,9,0.0
2017-09-23 18:56:28,9,0.3182
2017-09-23 18:58:29,8,0.0
2017-09-23 19:02:50,7,-0.8934
2017-09-23 19:03:06,7,0.3612
2017-09-23 19:03:14,8,-0.7346
2017-09-23 19:03:27,8,0.0534
2017-09-23 19:05:48,9,0.0
2017-09-23 19:06:18,8,-0.2732
2017-09-23 19:07:19,10,-0.5568
2017-09-23 19:08:11,8,-0.4201
2017-09-23 19:11:43,10,-0.7269
2017-09-23 19:12:19,8,0.34
2017-09-23 19:12:24,9,-0.2782
2017-09-23 19:12:24,10,0.296
2017-09-23 19:12:38,9,-0.8807
2017-09-23 19:13:30,9,-0.3718
2017-09-23 19:13:46,9,-0.5789
2017-09-23 19:18:03,8,0.0
2017-09-23 19:18:05,8,0.0
2017-09-23 19:18:41,8,0.2411
2017-09-23 19:20:00,9,0.5859
2017-09-23 19:20:03,8,-0.7906
2017-09-23 19:20:34,8,-0.7184
2017-09-23 19:20:56,8,-0.1531
2017-09-23 19:22:14,8,0.0
2017-09-23 18:18:25,15,-0.4377
2017-09-23 18:33:58,14,0.0
2017-09-23 17:29:02,8,0.1759
2017-09-23 17:35:41,7,0.0
2017-09-23 17:43:34,7,0.1139
2017-09-23 17:47:01,7,0.0
2017-09-23 17:48:14,7,0.4144
2017-09-23 17:53:20,8,0.2732
2017-09-23 17:53:31,7,0.3818
2017-09-23 17:54:20,7,-0.8294
2017-09-23 17:54:26,7,0.0
2017-09-23 17:54:29,8,0.5994
2017-09-23 17:55:07,6,-0.5719
2017-09-23 17:56:17,7,0.9117
2017-09-23 18:02:40,7,0.7042
2017-09-23 18:02:47,7,0.0
2017-09-23 18:12:00,7,-0.128
2017-09-23 18:15:30,7,0.0
2017-09-23 18:17:11,7,-0.5423
2017-09-23 18:18:48,7,0.0
2017-09-23 18:19:02,7,-0.4767
2017-09-23 18:20:11,7,0.2023
2017-09-23 18:20:45,7,0.0
2017-09-23 18:20:58,7,0.0
2017-09-23 18:21:02,7,0.2023
2017-09-23 18:27:14,7,-0.2373
2017-09-23 18:42:41,7,0.128
